Language,Key,Original Text (FR)
"ar","dashboardadmin.placeholder_message_notification","Message de la notification"
"ar","dashboardadmin.priorit","Priorité"
"ar","dashboardadmin.basse","Basse"
"ar","dashboardadmin.normale","Normale"
"ar","dashboardadmin.haute","Haute"
"ar","dashboardadmin.urgente","Urgente"
"ar","dashboardadmin.canaux_notification","Canaux de notification"
"ar","dashboardadmin.dans_lapplication","Dans l'application"
"ar","dashboardadmin.notification_push","Notification push"
"ar","dashboardadmin.email","Email"
"ar","dashboardadmin.aperu","Aperçu"
"ar","dashboardadmin.annuler","Annuler"
"ar","dashboardadmin.envoyer","Envoyer"
"ar","dashboardadmin.tableau_bord_administrateur","Tableau de bord administrateur"
"ar","dashboardadmin.vue_densemble_plateforme","Vue d'ensemble de la plateforme Action Culture"
"ar","dashboardadmin.connect","Connecté"
"ar","dashboardadmin.dconnect","Déconnecté"
"ar","dashboardadmin.notifications_rcentes","Notifications récentes"
"ar","dashboardadmin.aucune_notification_rcente","Aucune notification récente"
"ar","dashboardadmin.voir_toutes_les","Voir toutes les notifications"
"ar","dashboardadmin.notification_globale","Notification globale"
"ar","dashboardadmin.aujourdhui","Aujourd'hui"
"ar","dashboardadmin.cette_semaine","Cette semaine"
"ar","dashboardadmin.mois","Ce mois"
"ar","dashboardadmin.cette_anne","Cette année"
"ar","dashboardadmin.actualiser","Actualiser"
"ar","dashboardadmin.export","Export"
"ar","dashboardadmin.rapport_dactivit","Rapport d'activité"
"ar","dashboardadmin.rapport_modration","Rapport de modération"
"ar","dashboardadmin.rapport_patrimoine","Rapport patrimoine"
"ar","dashboardadmin.vider_cache","Vider cache"
"ar","dashboardadmin.title_utilisateurs","Utilisateurs"
"ar","dashboardadmin.title_uvres","Œuvres"
"ar","dashboardadmin.title_vnements","Événements"
"ar","dashboardadmin.title_patrimoine","Patrimoine"
"ar","dashboardadmin.utilisateurs_attente","Utilisateurs en attente"
"ar","dashboardadmin.title_valider","Valider"
"ar","dashboardadmin.title_rejeter","Rejeter"
"ar","dashboardadmin.voir_tous_les","Voir tous les utilisateurs en attente →"
"ar","dashboardadmin.aucun_utilisateur_attente","Aucun utilisateur en attente"
"ar","dashboardadmin.uvres_attente","Œuvres en attente"
"ar","dashboardadmin.voir_toutes_les_1","Voir toutes les œuvres →"
"ar","dashboardadmin.aucune_uvre_attente","Aucune œuvre en attente"
"ar","dashboardadmin.signalements","Signalements"
"ar","dashboardadmin.voir_tous_les_1","Voir tous les signalements →"
"ar","dashboardadmin.aucun_signalement_attente","Aucun signalement en attente"
"ar","dashboardadmin.vue_densemble","Vue d'ensemble"
"ar","dashboardadmin.utilisateurs","Utilisateurs"
"ar","dashboardadmin.uvres","Œuvres"
"ar","dashboardadmin.vnements","Événements"
"ar","dashboardadmin.patrimoine","Patrimoine"
"ar","dashboardadmin.services","Services"
"ar","dashboardadmin.modration","Modération"
"ar","dashboardadmin.activit_plateforme","Activité de la plateforme"
"ar","dashboardadmin.graphiques_dactivit","Graphiques d'activité"
"ar","dashboardadmin.les_donnes_seront","Les données seront affichées ici"
"ar","dashboardadmin.rpartition_des_utilisateurs","Répartition des utilisateurs"
"ar","dashboardadmin.activit_rcente","Activité récente"
"ar","dashboardadmin.gestion_des_utilisateurs","Gestion des utilisateurs"
"ar","dashboardadmin.liste_complte_des","Liste complète des utilisateurs ("
"ar","dashboardadmin.rsultats_1","résultats)"
"ar","dashboardadmin.inviter_utilisateur","Inviter un utilisateur"
"ar","dashboardadmin.placeholder_rechercher_par_nom","Rechercher par nom, email, entreprise..."
"ar","dashboardadmin.actions","Actions ("
"ar","dashboardadmin.valider_tous","Valider tous"
"ar","dashboardadmin.rejeter_tous","Rejeter tous"
"ar","dashboardadmin.supprimer","Supprimer"
"ar","dashboardadmin.exporter","Exporter"
"ar","dashboardadmin.suspendu","Suspendu"
"ar","dashboardadmin.inscrit","Inscrit le"
"ar","dashboardadmin.title_valider_1","Valider"
"ar","dashboardadmin.valider","Valider"
"ar","dashboardadmin.title_rejeter_1","Rejeter"
"ar","dashboardadmin.rejeter","Rejeter"
"ar","dashboardadmin.actions_1","Actions"
"ar","dashboardadmin.modifier","Modifier"
"ar","dashboardadmin.envoyer_notification","Envoyer notification"
"ar","dashboardadmin.suspendre","Suspendre"
"ar","dashboardadmin.ractiver","Réactiver"
"ar","dashboardadmin.rinitialiser_mdp","Réinitialiser MDP"
"ar","dashboardadmin.supprimer_1","Supprimer"
"ar","dashboardadmin.s","s)"
"ar","dashboardadmin.filtres_avancs","Filtres avancés"
"ar","dashboardadmin.type_duvre","Type d'œuvre"
"ar","dashboardadmin.placeholder_tous_les_types","Tous les types"
"ar","dashboardadmin.tous_les_types","Tous les types"
"ar","dashboardadmin.statut","Statut"
"ar","dashboardadmin.placeholder_tous_les_statuts","Tous les statuts"
"ar","dashboardadmin.tous_les_statuts","Tous les statuts"
"ar","dashboardadmin.attente","En attente"
"ar","dashboardadmin.valid","Validé"
"ar","dashboardadmin.rejet","Rejeté"
"ar","dashboardadmin.wilaya","Wilaya"
"ar","dashboardadmin.placeholder_toutes_les_wilayas","Toutes les wilayas"
"ar","dashboardadmin.toutes_les_wilayas","Toutes les wilayas"
"ar","dashboardadmin.prix_maximum","Prix maximum"
"ar","dashboardadmin.placeholder_prix_max","Prix max"
"ar","dashboardadmin.rinitialiser","Réinitialiser"
"ar","dashboardadmin.gestion_des_uvres","Gestion des œuvres"
"ar","dashboardadmin.liste_complte_des_1","Liste complète des œuvres ("
"ar","dashboardadmin.rsultats_2","résultats)"
"ar","dashboardadmin.ajouter_une_uvre","Ajouter une œuvre"
"ar","dashboardadmin.placeholder_rechercher_par_titre","Rechercher par titre, auteur, type..."
"ar","dashboardadmin.filtres","Filtres"
"ar","dashboardadmin.actions_2","Actions ("
"ar","dashboardadmin.valider_toutes","Valider toutes"
"ar","dashboardadmin.rejeter_toutes","Rejeter toutes"
"ar","dashboardadmin.exporter_1","Exporter"
"ar","dashboardadmin.par","Par"
"ar","dashboardadmin.vues","vues"
"ar","dashboardadmin.approuver","Approuver"
"ar","dashboardadmin.rejeter_1","Rejeter"
"ar","dashboardadmin.voir_dtails","Voir détails"
"ar","dashboardadmin.modifier_1","Modifier"
"ar","dashboardadmin.envoyer_notification_1","Envoyer notification"
"ar","dashboardadmin.mettre_avant","Mettre en avant"
"ar","dashboardadmin.supprimer_2","Supprimer"
"ar","dashboardadmin.filtres_avancs_1","Filtres avancés"
"ar","dashboardadmin.type_dvnement","Type d'événement"
"ar","dashboardadmin.placeholder_tous_les_types_1","Tous les types"
"ar","dashboardadmin.tous_les_types_1","Tous les types"
"ar","dashboardadmin.statut_1","Statut"
"ar","dashboardadmin.placeholder_tous_les_statuts_1","Tous les statuts"
"ar","dashboardadmin.tous_les_statuts_1","Tous les statuts"
"ar","dashboardadmin.venir","À venir"
"ar","dashboardadmin.cours","En cours"
"ar","dashboardadmin.termin","Terminé"
"ar","dashboardadmin.annul","Annulé"
"ar","dashboardadmin.wilaya_1","Wilaya"
"ar","dashboardadmin.placeholder_toutes_les_wilayas_1","Toutes les wilayas"
"ar","dashboardadmin.toutes_les_wilayas_1","Toutes les wilayas"
"ar","dashboardadmin.date_dbut","Date de début"
"ar","dashboardadmin.rinitialiser_1","Réinitialiser"
"ar","dashboardadmin.gestion_des_vnements","Gestion des événements"
"ar","dashboardadmin.liste_complte_des_2","Liste complète des événements ("
"ar","dashboardadmin.rsultats_3","résultats)"
"ar","dashboardadmin.ajouter_vnement","Ajouter un événement"
"ar","dashboardadmin.placeholder_rechercher_par_titre_1","Rechercher par titre, organisateur, lieu..."
"ar","dashboardadmin.filtres_1","Filtres"
"ar","dashboardadmin.exporter_2","Exporter"
"ar","dashboardadmin.organis_par","Organisé par"
"ar","dashboardadmin.participants","participants"
"ar","dashboardadmin.dmarrer","Démarrer"
"ar","dashboardadmin.annuler_1","Annuler"
"ar","dashboardadmin.terminer","Terminer"
"ar","dashboardadmin.voir_dtails_1","Voir détails"
"ar","dashboardadmin.modifier_2","Modifier"
"ar","dashboardadmin.envoyer_notification_2","Envoyer notification"
"ar","dashboardadmin.mettre_avant_1","Mettre en avant"
"ar","dashboardadmin.supprimer_3","Supprimer"
"ar","dashboardadmin.filtres_avancs_2","Filtres avancés"
"ar","dashboardadmin.type_patrimoine","Type de patrimoine"
"ar","dashboardadmin.placeholder_tous_les_types_2","Tous les types"
"ar","dashboardadmin.tous_les_types_2","Tous les types"
"ar","dashboardadmin.wilaya_2","Wilaya"
"ar","dashboardadmin.placeholder_toutes_les_wilayas_2","Toutes les wilayas"
"ar","dashboardadmin.toutes_les_wilayas_2","Toutes les wilayas"
"ar","dashboardadmin.classement","Classement"
"ar","dashboardadmin.placeholder_tous_les_classements","Tous les classements"
